LAUS Code,statefips,countyfips,County Name/State Abbreviation,Period,labor force,Employed,Unemployed,unemployment_rate
CN1700700000000,17,7,"Boone County, IL",20-Feb,"25,411","24,024","1,387",5.5
CN1700900000000,17,9,"Brown County, IL",20-Feb,"2,929","2,873",56,1.9
CN1701100000000,17,11,"Bureau County, IL",20-Feb,"16,496","15,773",723,4.4
CN1701300000000,17,13,"Calhoun County, IL",20-Feb,"2,260","2,173",87,3.8
CN1701500000000,17,15,"Carroll County, IL",20-Feb,"7,020","6,736",284,4
CN1701700000000,17,17,"Cass County, IL",20-Feb,"5,917","5,697",220,3.7
CN1701900000000,17,19,"Champaign County, IL",20-Feb,"110,763","107,875","2,888",2.6
CN1702100000000,17,21,"Christian County, IL",20-Feb,"13,879","13,280",599,4.3
CN1702300000000,17,23,"Clark County, IL",20-Feb,"7,370","7,074",296,4
CN1702500000000,17,25,"Clay County, IL",20-Feb,"6,206","5,939",267,4.3
CN1702700000000,17,27,"Clinton County, IL",20-Feb,"20,085","19,532",553,2.8
CN1702900000000,17,29,"Coles County, IL",20-Feb,"23,876","23,204",672,2.8
CN1703100000000,17,31,"Cook County, IL",20-Feb,"2,564,954","2,476,865","88,089",3.4
CN1703300000000,17,33,"Crawford County, IL",20-Feb,"8,432","8,138",294,3.5
CN1703500000000,17,35,"Cumberland County, IL",20-Feb,"6,029","5,847",182,3
CN1703700000000,17,37,"DeKalb County, IL",20-Feb,"54,265","52,363","1,902",3.5
CN1703900000000,17,39,"De Witt County, IL",20-Feb,"7,225","6,980",245,3.4
CN1704100000000,17,41,"Douglas County, IL",20-Feb,"10,041","9,785",256,2.5
CN1704300000000,17,43,"DuPage County, IL",20-Feb,"502,242","488,992","13,250",2.6
CN1704500000000,17,45,"Edgar County, IL",20-Feb,"8,399","8,119",280,3.3
CN1704700000000,17,47,"Edwards County, IL",20-Feb,"2,639","2,530",109,4.1
CN1704900000000,17,49,"Effingham County, IL",20-Feb,"19,083","18,548",535,2.8
CN1705100000000,17,51,"Fayette County, IL",20-Feb,"9,550","9,168",382,4
CN1705300000000,17,53,"Ford County, IL",20-Feb,"6,359","6,137",222,3.5
CN1705500000000,17,55,"Franklin County, IL",20-Feb,"16,079","15,378",701,4.4
CN1705700000000,17,57,"Fulton County, IL",20-Feb,"14,759","13,977",782,5.3
CN1705900000000,17,59,"Gallatin County, IL",20-Feb,"2,291","2,187",104,4.5
CN1706100000000,17,61,"Greene County, IL",20-Feb,"5,796","5,600",196,3.4
CN1706300000000,17,63,"Grundy County, IL",20-Feb,"25,176","23,999","1,177",4.7
CN1706500000000,17,65,"Hamilton County, IL",20-Feb,"4,305","4,167",138,3.2
CN1706700000000,17,67,"Hancock County, IL",20-Feb,"7,955","7,614",341,4.3
CN1706900000000,17,69,"Hardin County, IL",20-Feb,"1,286","1,214",72,5.6
CN1707100000000,17,71,"Henderson County, IL",20-Feb,"3,427","3,264",163,4.8
CN1707300000000,17,73,"Henry County, IL",20-Feb,"24,186","23,139","1,047",4.3
CN1707500000000,17,75,"Iroquois County, IL",20-Feb,"13,680","13,101",579,4.2
CN1707700000000,17,77,"Jackson County, IL",20-Feb,"27,776","27,005",771,2.8
CN1707900000000,17,79,"Jasper County, IL",20-Feb,"4,614","4,447",167,3.6
CN1708100000000,17,81,"Jefferson County, IL",20-Feb,"17,171","16,557",614,3.6
CN1708300000000,17,83,"Jersey County, IL",20-Feb,"10,838","10,434",404,3.7
CN1708500000000,17,85,"Jo Daviess County, IL",20-Feb,"10,243","9,795",448,4.4
CN1708700000000,17,87,"Johnson County, IL",20-Feb,"4,220","4,001",219,5.2
CN1708900000000,17,89,"Kane County, IL",20-Feb,"270,431","259,442","10,989",4.1
CN1709100000000,17,91,"Kankakee County, IL",20-Feb,"55,329","52,822","2,507",4.5
CN1709300000000,17,93,"Kendall County, IL",20-Feb,"67,885","65,626","2,259",3.3
CN1709500000000,17,95,"Knox County, IL",20-Feb,"20,838","19,961",877,4.2
CN1709700000000,17,97,"Lake County, IL",20-Feb,"368,187","354,390","13,797",3.7
CN1709900000000,17,99,"LaSalle County, IL",20-Feb,"53,486","50,914","2,572",4.8
CN1710100000000,17,101,"Lawrence County, IL",20-Feb,"5,772","5,536",236,4.1
CN1710300000000,17,103,"Lee County, IL",20-Feb,"17,296","16,732",564,3.3
CN1710500000000,17,105,"Livingston County, IL",20-Feb,"15,858","15,292",566,3.6
CN1710700000000,17,107,"Logan County, IL",20-Feb,"12,279","11,862",417,3.4
CN1710900000000,17,109,"McDonough County, IL",20-Feb,"13,084","12,664",420,3.2
CN1711100000000,17,111,"McHenry County, IL",20-Feb,"164,000","158,432","5,568",3.4
CN1711300000000,17,113,"McLean County, IL",20-Feb,"86,658","84,274","2,384",2.8
CN1711500000000,17,115,"Macon County, IL",20-Feb,"47,129","45,087","2,042",4.3
CN1711700000000,17,117,"Macoupin County, IL",20-Feb,"22,534","21,738",796,3.5
CN1711900000000,17,119,"Madison County, IL",20-Feb,"132,902","128,877","4,025",3
CN1712100000000,17,121,"Marion County, IL",20-Feb,"17,054","16,447",607,3.6
CN1712300000000,17,123,"Marshall County, IL",20-Feb,"5,107","4,872",235,4.6
CN1712500000000,17,125,"Mason County, IL",20-Feb,"6,075","5,788",287,4.7
CN1712700000000,17,127,"Massac County, IL",20-Feb,"5,579","5,335",244,4.4
CN1712900000000,17,129,"Menard County, IL",20-Feb,"6,344","6,116",228,3.6
CN1713100000000,17,131,"Mercer County, IL",20-Feb,"7,844","7,414",430,5.5
CN1713300000000,17,133,"Monroe County, IL",20-Feb,"18,605","18,143",462,2.5
CN1713500000000,17,135,"Montgomery County, IL",20-Feb,"11,358","10,774",584,5.1
CN1713700000000,17,137,"Morgan County, IL",20-Feb,"15,991","15,440",551,3.4
CN1713900000000,17,139,"Moultrie County, IL",20-Feb,"7,422","7,235",187,2.5
CN1714100000000,17,141,"Ogle County, IL",20-Feb,"23,940","22,891","1,049",4.4
CN1714300000000,17,143,"Peoria County, IL",20-Feb,"82,684","78,961","3,723",4.5
CN1714500000000,17,145,"Perry County, IL",20-Feb,"8,194","7,883",311,3.8
CN1714700000000,17,147,"Piatt County, IL",20-Feb,"8,616","8,385",231,2.7
CN1714900000000,17,149,"Pike County, IL",20-Feb,"6,594","6,315",279,4.2
CN1715100000000,17,151,"Pope County, IL",20-Feb,"1,653","1,582",71,4.3
CN1715300000000,17,153,"Pulaski County, IL",20-Feb,"1,911","1,795",116,6.1
CN1715500000000,17,155,"Putnam County, IL",20-Feb,"3,070","2,910",160,5.2
CN1715700000000,17,157,"Randolph County, IL",20-Feb,"14,039","13,625",414,2.9
CN1715900000000,17,159,"Richland County, IL",20-Feb,"7,061","6,831",230,3.3
CN1716100000000,17,161,"Rock Island County, IL",20-Feb,"69,781","66,798","2,983",4.3
CN1716300000000,17,163,"St. Clair County, IL",20-Feb,"125,252","121,052","4,200",3.4
CN1716500000000,17,165,"Saline County, IL",20-Feb,"9,494","9,067",427,4.5
CN1716700000000,17,167,"Sangamon County, IL",20-Feb,"98,883","95,694","3,189",3.2
CN1716900000000,17,169,"Schuyler County, IL",20-Feb,"3,048","2,933",115,3.8
CN1717100000000,17,171,"Scott County, IL",20-Feb,"2,442","2,328",114,4.7
CN1717300000000,17,173,"Shelby County, IL",20-Feb,"10,253","9,912",341,3.3
CN1717500000000,17,175,"Stark County, IL",20-Feb,"2,380","2,260",120,5
CN1717700000000,17,177,"Stephenson County, IL",20-Feb,"20,950","20,099",851,4.1
CN1717900000000,17,179,"Tazewell County, IL",20-Feb,"61,930","59,482","2,448",4
CN1718100000000,17,181,"Union County, IL",20-Feb,"7,400","7,018",382,5.2
CN1718300000000,17,183,"Vermilion County, IL",20-Feb,"32,271","30,960","1,311",4.1
CN1718500000000,17,185,"Wabash County, IL",20-Feb,"5,862","5,694",168,2.9
CN1718700000000,17,187,"Warren County, IL",20-Feb,"8,127","7,867",260,3.2
CN1718900000000,17,189,"Washington County, IL",20-Feb,"9,769","9,572",197,2
CN1719100000000,17,191,"Wayne County, IL",20-Feb,"6,728","6,472",256,3.8
CN1719300000000,17,193,"White County, IL",20-Feb,"6,389","6,189",200,3.1
CN1719500000000,17,195,"Whiteside County, IL",20-Feb,"27,781","26,765","1,016",3.7
CN1719700000000,17,197,"Will County, IL",20-Feb,"353,805","340,211","13,594",3.8
CN1719900000000,17,199,"Williamson County, IL",20-Feb,"31,949","30,849","1,100",3.4
CN1720100000000,17,201,"Winnebago County, IL",20-Feb,"134,619","128,307","6,312",4.7
CN1720300000000,17,203,"Woodford County, IL",20-Feb,"18,104","17,538",566,3.1
CN1800100000000,18,1,"Adams County, IN",20-Feb,"16,925","16,406",519,3.1
CN1800300000000,18,3,"Allen County, IN",20-Feb,"187,748","181,348","6,400",3.4
CN1800500000000,18,5,"Bartholomew County, IN",20-Feb,"45,236","44,108","1,128",2.5
CN1800700000000,18,7,"Benton County, IN",20-Feb,"4,660","4,526",134,2.9
CN1800900000000,18,9,"Blackford County, IN",20-Feb,"4,816","4,609",207,4.3
CN1801100000000,18,11,"Boone County, IN",20-Feb,"36,326","35,469",857,2.4
CN1801300000000,18,13,"Brown County, IN",20-Feb,"7,746","7,492",254,3.3
CN1801500000000,18,15,"Carroll County, IN",20-Feb,"10,634","10,293",341,3.2
CN1801700000000,18,17,"Cass County, IN",20-Feb,"17,807","17,123",684,3.8
CN1801900000000,18,19,"Clark County, IN",20-Feb,"62,203","60,231","1,972",3.2
CN1802100000000,18,21,"Clay County, IN",20-Feb,"12,096","11,638",458,3.8
CN1802300000000,18,23,"Clinton County, IN",20-Feb,"17,130","16,675",455,2.7
CN1802500000000,18,25,"Crawford County, IN",20-Feb,"4,889","4,613",276,5.6
CN1802700000000,18,27,"Daviess County, IN",20-Feb,"16,705","16,244",461,2.8
CN1802900000000,18,29,"Dearborn County, IN",20-Feb,"25,886","24,881","1,005",3.9
CN1803100000000,18,31,"Decatur County, IN",20-Feb,"14,797","14,331",466,3.1
CN1803300000000,18,33,"DeKalb County, IN",20-Feb,"22,819","22,154",665,2.9
CN1803500000000,18,35,"Delaware County, IN",20-Feb,"54,905","52,728","2,177",4
CN1803700000000,18,37,"Dubois County, IN",20-Feb,"22,932","22,373",559,2.4
CN1803900000000,18,39,"Elkhart County, IN",20-Feb,"112,571","109,482","3,089",2.7
CN1804100000000,18,41,"Fayette County, IN",20-Feb,"8,498","8,116",382,4.5
CN1804300000000,18,43,"Floyd County, IN",20-Feb,"42,027","40,719","1,308",3.1
CN1804500000000,18,45,"Fountain County, IN",20-Feb,"7,902","7,625",277,3.5
CN1804700000000,18,47,"Franklin County, IN",20-Feb,"11,186","10,748",438,3.9
CN1804900000000,18,49,"Fulton County, IN",20-Feb,"9,528","9,160",368,3.9
CN1805100000000,18,51,"Gibson County, IN",20-Feb,"19,782","19,263",519,2.6
CN1805300000000,18,53,"Grant County, IN",20-Feb,"32,177","31,012","1,165",3.6
CN1805500000000,18,55,"Greene County, IN",20-Feb,"13,756","13,135",621,4.5
CN1805700000000,18,57,"Hamilton County, IN",20-Feb,"184,920","180,514","4,406",2.4
CN1805900000000,18,59,"Hancock County, IN",20-Feb,"40,452","39,318","1,134",2.8
CN1806100000000,18,61,"Harrison County, IN",20-Feb,"20,502","19,812",690,3.4
CN1806300000000,18,63,"Hendricks County, IN",20-Feb,"90,613","88,293","2,320",2.6
CN1806500000000,18,65,"Henry County, IN",20-Feb,"22,074","21,322",752,3.4
CN1806700000000,18,67,"Howard County, IN",20-Feb,"37,021","35,596","1,425",3.8
CN1806900000000,18,69,"Huntington County, IN",20-Feb,"18,231","17,634",597,3.3
CN1807100000000,18,71,"Jackson County, IN",20-Feb,"22,990","22,418",572,2.5
CN1807300000000,18,73,"Jasper County, IN",20-Feb,"16,326","15,568",758,4.6
CN1807500000000,18,75,"Jay County, IN",20-Feb,"9,306","9,011",295,3.2
CN1807700000000,18,77,"Jefferson County, IN",20-Feb,"15,036","14,526",510,3.4
CN1807900000000,18,79,"Jennings County, IN",20-Feb,"13,658","13,175",483,3.5
CN1808100000000,18,81,"Johnson County, IN",20-Feb,"83,466","81,260","2,206",2.6
CN1808300000000,18,83,"Knox County, IN",20-Feb,"18,484","17,895",589,3.2
CN1808500000000,18,85,"Kosciusko County, IN",20-Feb,"42,028","40,831","1,197",2.8
CN1808700000000,18,87,"LaGrange County, IN",20-Feb,"19,687","19,204",483,2.5
CN1808900000000,18,89,"Lake County, IN",20-Feb,"232,192","220,245","11,947",5.1
CN1809100000000,18,91,"LaPorte County, IN",20-Feb,"47,772","45,523","2,249",4.7
CN1809300000000,18,93,"Lawrence County, IN",20-Feb,"21,342","20,550",792,3.7
CN1809500000000,18,95,"Madison County, IN",20-Feb,"59,703","57,278","2,425",4.1
CN1809700000000,18,97,"Marion County, IN",20-Feb,"494,260","478,724","15,536",3.1
CN1809900000000,18,99,"Marshall County, IN",20-Feb,"22,783","22,031",752,3.3
CN1810100000000,18,101,"Martin County, IN",20-Feb,"5,363","5,231",132,2.5
CN1810300000000,18,103,"Miami County, IN",20-Feb,"15,122","14,490",632,4.2
CN1810500000000,18,105,"Monroe County, IN",20-Feb,"72,352","70,036","2,316",3.2
CN1810700000000,18,107,"Montgomery County, IN",20-Feb,"18,657","18,100",557,3
CN1810900000000,18,109,"Morgan County, IN",20-Feb,"36,593","35,387","1,206",3.3
CN1811100000000,18,111,"Newton County, IN",20-Feb,"6,950","6,604",346,5
CN1811300000000,18,113,"Noble County, IN",20-Feb,"23,270","22,564",706,3
CN1811500000000,18,115,"Ohio County, IN",20-Feb,"3,188","3,081",107,3.4
CN1811700000000,18,117,"Orange County, IN",20-Feb,"8,839","8,506",333,3.8
CN1811900000000,18,119,"Owen County, IN",20-Feb,"9,615","9,227",388,4
CN1812100000000,18,121,"Parke County, IN",20-Feb,"6,818","6,556",262,3.8
CN1812300000000,18,123,"Perry County, IN",20-Feb,"9,231","8,913",318,3.4
CN1812500000000,18,125,"Pike County, IN",20-Feb,"6,186","5,953",233,3.8
CN1812700000000,18,127,"Porter County, IN",20-Feb,"87,518","83,920","3,598",4.1
CN1812900000000,18,129,"Posey County, IN",20-Feb,"13,592","13,213",379,2.8
CN1813100000000,18,131,"Pulaski County, IN",20-Feb,"6,396","6,152",244,3.8
CN1813300000000,18,133,"Putnam County, IN",20-Feb,"16,807","16,233",574,3.4
CN1813500000000,18,135,"Randolph County, IN",20-Feb,"10,987","10,523",464,4.2
CN1813700000000,18,137,"Ripley County, IN",20-Feb,"14,207","13,680",527,3.7
CN1813900000000,18,139,"Rush County, IN",20-Feb,"8,751","8,510",241,2.8
CN1814100000000,18,141,"St. Joseph County, IN",20-Feb,"137,099","132,156","4,943",3.6
CN1814300000000,18,143,"Scott County, IN",20-Feb,"10,624","10,280",344,3.2
CN1814500000000,18,145,"Shelby County, IN",20-Feb,"23,264","22,579",685,2.9
CN1814700000000,18,147,"Spencer County, IN",20-Feb,"10,255","9,839",416,4.1
CN1814900000000,18,149,"Starke County, IN",20-Feb,"9,655","9,186",469,4.9
CN1815100000000,18,151,"Steuben County, IN",20-Feb,"20,945","20,418",527,2.5
CN1815300000000,18,153,"Sullivan County, IN",20-Feb,"8,410","8,007",403,4.8
CN1815500000000,18,155,"Switzerland County, IN",20-Feb,"4,919","4,742",177,3.6
CN1815700000000,18,157,"Tippecanoe County, IN",20-Feb,"104,764","101,833","2,931",2.8
CN1815900000000,18,159,"Tipton County, IN",20-Feb,"9,079","8,822",257,2.8
CN1816100000000,18,161,"Union County, IN",20-Feb,"3,530","3,414",116,3.3
CN1816300000000,18,163,"Vanderburgh County, IN",20-Feb,"95,187","92,264","2,923",3.1
CN1816500000000,18,165,"Vermillion County, IN",20-Feb,"6,994","6,610",384,5.5
CN1816700000000,18,167,"Vigo County, IN",20-Feb,"48,495","46,441","2,054",4.2
CN1816900000000,18,169,"Wabash County, IN",20-Feb,"15,103","14,613",490,3.2
CN1817100000000,18,171,"Warren County, IN",20-Feb,"4,197","4,072",125,3
CN1817300000000,18,173,"Warrick County, IN",20-Feb,"33,238","32,265",973,2.9
CN1817500000000,18,175,"Washington County, IN",20-Feb,"13,678","13,173",505,3.7
CN1817700000000,18,177,"Wayne County, IN",20-Feb,"30,943","29,844","1,099",3.6
CN1817900000000,18,179,"Wells County, IN",20-Feb,"14,440","14,012",428,3
CN1818100000000,18,181,"White County, IN",20-Feb,"13,434","13,059",375,2.8
CN1818300000000,18,183,"Whitley County, IN",20-Feb,"17,852","17,331",521,2.9
CN1900100000000,19,1,"Adair County, IA",20-Feb,"4,293","4,164",129,3
CN1900300000000,19,3,"Adams County, IA",20-Feb,"2,183","2,143",40,1.8
CN1900500000000,19,5,"Allamakee County, IA",20-Feb,"7,604","7,216",388,5.1
CN1900700000000,19,7,"Appanoose County, IA",20-Feb,"6,012","5,797",215,3.6
CN1900900000000,19,9,"Audubon County, IA",20-Feb,"3,132","3,050",82,2.6
CN1901100000000,19,11,"Benton County, IA",20-Feb,"13,697","13,236",461,3.4
CN1901300000000,19,13,"Black Hawk County, IA",20-Feb,"69,446","67,010","2,436",3.5
CN1901500000000,19,15,"Boone County, IA",20-Feb,"15,114","14,701",413,2.7
CN1901700000000,19,17,"Bremer County, IA",20-Feb,"14,030","13,658",372,2.7
CN1901900000000,19,19,"Buchanan County, IA",20-Feb,"11,400","10,997",403,3.5
CN1902100000000,19,21,"Buena Vista County, IA",20-Feb,"12,186","11,923",263,2.2
CN1902300000000,19,23,"Butler County, IA",20-Feb,"8,086","7,743",343,4.2
CN1902500000000,19,25,"Calhoun County, IA",20-Feb,"4,294","4,178",116,2.7
CN1902700000000,19,27,"Carroll County, IA",20-Feb,"11,043","10,823",220,2
CN1902900000000,19,29,"Cass County, IA",20-Feb,"6,953","6,721",232,3.3
CN1903100000000,19,31,"Cedar County, IA",20-Feb,"11,000","10,653",347,3.2
CN1903300000000,19,33,"Cerro Gordo County, IA",20-Feb,"23,732","23,036",696,2.9
CN1903500000000,19,35,"Cherokee County, IA",20-Feb,"6,326","6,124",202,3.2
CN1903700000000,19,37,"Chickasaw County, IA",20-Feb,"6,682","6,422",260,3.9
CN1903900000000,19,39,"Clarke County, IA",20-Feb,"4,991","4,805",186,3.7
CN1904100000000,19,41,"Clay County, IA",20-Feb,"8,583","8,304",279,3.3
CN1904300000000,19,43,"Clayton County, IA",20-Feb,"10,213","9,571",642,6.3
CN1904500000000,19,45,"Clinton County, IA",20-Feb,"22,882","21,935",947,4.1
CN1904700000000,19,47,"Crawford County, IA",20-Feb,"8,358","7,956",402,4.8
CN1904900000000,19,49,"Dallas County, IA",20-Feb,"50,032","49,047",985,2
CN1905100000000,19,51,"Davis County, IA",20-Feb,"4,318","4,198",120,2.8
CN1905300000000,19,53,"Decatur County, IA",20-Feb,"4,552","4,452",100,2.2
CN1905500000000,19,55,"Delaware County, IA",20-Feb,"10,823","10,493",330,3
CN1905700000000,19,57,"Des Moines County, IA",20-Feb,"19,130","18,169",961,5
CN1905900000000,19,59,"Dickinson County, IA",20-Feb,"9,752","9,351",401,4.1
CN1906100000000,19,61,"Dubuque County, IA",20-Feb,"57,069","55,128","1,941",3.4
CN1906300000000,19,63,"Emmet County, IA",20-Feb,"5,310","5,151",159,3
CN1906500000000,19,65,"Fayette County, IA",20-Feb,"11,047","10,547",500,4.5
CN1906700000000,19,67,"Floyd County, IA",20-Feb,"8,786","8,389",397,4.5
CN1906900000000,19,69,"Franklin County, IA",20-Feb,"5,772","5,591",181,3.1
CN1907100000000,19,71,"Fremont County, IA",20-Feb,"3,726","3,645",81,2.2
CN1907300000000,19,73,"Greene County, IA",20-Feb,"5,542","5,416",126,2.3
CN1907500000000,19,75,"Grundy County, IA",20-Feb,"6,655","6,444",211,3.2
CN1907700000000,19,77,"Guthrie County, IA",20-Feb,"5,802","5,574",228,3.9
CN1907900000000,19,79,"Hamilton County, IA",20-Feb,"6,998","6,778",220,3.1
CN1908100000000,19,81,"Hancock County, IA",20-Feb,"6,022","5,861",161,2.7
CN1908300000000,19,83,"Hardin County, IA",20-Feb,"8,145","7,848",297,3.6
CN1908500000000,19,85,"Harrison County, IA",20-Feb,"7,589","7,381",208,2.7
CN1908700000000,19,87,"Henry County, IA",20-Feb,"9,930","9,603",327,3.3
CN1908900000000,19,89,"Howard County, IA",20-Feb,"5,339","5,134",205,3.8
CN1909100000000,19,91,"Humboldt County, IA",20-Feb,"5,161","4,993",168,3.3
CN1909300000000,19,93,"Ida County, IA",20-Feb,"4,283","4,157",126,2.9
CN1909500000000,19,95,"Iowa County, IA",20-Feb,"10,699","10,389",310,2.9
CN1909700000000,19,97,"Jackson County, IA",20-Feb,"11,167","10,668",499,4.5
CN1909900000000,19,99,"Jasper County, IA",20-Feb,"20,053","19,373",680,3.4
CN1910100000000,19,101,"Jefferson County, IA",20-Feb,"10,446","10,196",250,2.4
CN1910300000000,19,103,"Johnson County, IA",20-Feb,"86,546","84,882","1,664",1.9
CN1910500000000,19,105,"Jones County, IA",20-Feb,"11,005","10,495",510,4.6
CN1910700000000,19,107,"Keokuk County, IA",20-Feb,"5,368","5,134",234,4.4
CN1910900000000,19,109,"Kossuth County, IA",20-Feb,"8,558","8,332",226,2.6
CN1911100000000,19,111,"Lee County, IA",20-Feb,"16,262","15,582",680,4.2
CN1911300000000,19,113,"Linn County, IA",20-Feb,"122,902","118,899","4,003",3.3
CN1911500000000,19,115,"Louisa County, IA",20-Feb,"6,205","5,942",263,4.2
CN1911700000000,19,117,"Lucas County, IA",20-Feb,"4,708","4,605",103,2.2
CN1911900000000,19,119,"Lyon County, IA",20-Feb,"7,180","7,017",163,2.3
CN1912100000000,19,121,"Madison County, IA",20-Feb,"8,777","8,381",396,4.5
CN1912300000000,19,123,"Mahaska County, IA",20-Feb,"12,037","11,696",341,2.8
CN1912500000000,19,125,"Marion County, IA",20-Feb,"18,583","18,134",449,2.4
CN1912700000000,19,127,"Marshall County, IA",20-Feb,"18,299","17,048","1,251",6.8
CN1912900000000,19,129,"Mills County, IA",20-Feb,"7,568","7,392",176,2.3
CN1913100000000,19,131,"Mitchell County, IA",20-Feb,"7,197","7,056",141,2
CN1913300000000,19,133,"Monona County, IA",20-Feb,"4,530","4,374",156,3.4
CN1913500000000,19,135,"Monroe County, IA",20-Feb,"4,143","4,009",134,3.2
CN1913700000000,19,137,"Montgomery County, IA",20-Feb,"5,105","4,960",145,2.8
CN1913900000000,19,139,"Muscatine County, IA",20-Feb,"22,144","21,446",698,3.2
CN1914100000000,19,141,"O'Brien County, IA",20-Feb,"8,440","8,236",204,2.4
CN1914300000000,19,143,"Osceola County, IA",20-Feb,"3,591","3,506",85,2.4
CN1914500000000,19,145,"Page County, IA",20-Feb,"6,468","6,298",170,2.6
CN1914700000000,19,147,"Palo Alto County, IA",20-Feb,"4,838","4,702",136,2.8
CN1914900000000,19,149,"Plymouth County, IA",20-Feb,"15,110","14,767",343,2.3
CN1915100000000,19,151,"Pocahontas County, IA",20-Feb,"4,591","4,492",99,2.2
CN1915300000000,19,153,"Polk County, IA",20-Feb,"271,912","263,581","8,331",3.1
CN1915500000000,19,155,"Pottawattamie County, IA",20-Feb,"49,581","48,260","1,321",2.7
CN1915700000000,19,157,"Poweshiek County, IA",20-Feb,"10,801","10,437",364,3.4
CN1915900000000,19,159,"Ringgold County, IA",20-Feb,"2,514","2,444",70,2.8
CN1916100000000,19,161,"Sac County, IA",20-Feb,"5,352","5,188",164,3.1
CN1916300000000,19,163,"Scott County, IA",20-Feb,"88,952","85,691","3,261",3.7
CN1916500000000,19,165,"Shelby County, IA",20-Feb,"6,795","6,624",171,2.5
CN1916700000000,19,167,"Sioux County, IA",20-Feb,"21,850","21,309",541,2.5
CN1916900000000,19,169,"Story County, IA",20-Feb,"59,598","58,602",996,1.7
CN1917100000000,19,171,"Tama County, IA",20-Feb,"9,607","9,189",418,4.4
CN1917300000000,19,173,"Taylor County, IA",20-Feb,"3,265","3,206",59,1.8
CN1917500000000,19,175,"Union County, IA",20-Feb,"6,457","6,208",249,3.9
CN1917700000000,19,177,"Van Buren County, IA",20-Feb,"3,702","3,570",132,3.6
CN1917900000000,19,179,"Wapello County, IA",20-Feb,"17,947","17,290",657,3.7
CN1918100000000,19,181,"Warren County, IA",20-Feb,"28,708","27,843",865,3
CN1918300000000,19,183,"Washington County, IA",20-Feb,"12,292","11,886",406,3.3
CN1918500000000,19,185,"Wayne County, IA",20-Feb,"2,890","2,816",74,2.6
CN1918700000000,19,187,"Webster County, IA",20-Feb,"19,663","18,995",668,3.4
CN1918900000000,19,189,"Winnebago County, IA",20-Feb,"5,266","5,114",152,2.9
CN1919100000000,19,191,"Winneshiek County, IA",20-Feb,"12,616","12,106",510,4
CN1919300000000,19,193,"Woodbury County, IA",20-Feb,"56,524","54,725","1,799",3.2
CN1919500000000,19,195,"Worth County, IA",20-Feb,"4,339","4,186",153,3.5
CN1919700000000,19,197,"Wright County, IA",20-Feb,"7,167","6,959",208,2.9
CN2000100000000,20,1,"Allen County, KS",20-Feb,"6,421","6,193",228,3.6
CN2000300000000,20,3,"Anderson County, KS",20-Feb,"4,202","4,059",143,3.4
CN2000500000000,20,5,"Atchison County, KS",20-Feb,"7,029","6,641",388,5.5
CN2000700000000,20,7,"Barber County, KS",20-Feb,"2,297","2,236",61,2.7
CN2000900000000,20,9,"Barton County, KS",20-Feb,"13,293","12,794",499,3.8
CN2001100000000,20,11,"Bourbon County, KS",20-Feb,"6,594","6,277",317,4.8
CN2001300000000,20,13,"Brown County, KS",20-Feb,"5,363","5,203",160,3
CN2001500000000,20,15,"Butler County, KS",20-Feb,"33,025","31,904","1,121",3.4
CN2001700000000,20,17,"Chase County, KS",20-Feb,"1,552","1,509",43,2.8
CN2001900000000,20,19,"Chautauqua County, KS",20-Feb,"1,424","1,376",48,3.4
CN2002100000000,20,21,"Cherokee County, KS",20-Feb,"10,162","9,840",322,3.2
CN2002300000000,20,23,"Cheyenne County, KS",20-Feb,"1,317","1,285",32,2.4
CN2002500000000,20,25,"Clark County, KS",20-Feb,"1,080","1,055",25,2.3
CN2002700000000,20,27,"Clay County, KS",20-Feb,"3,769","3,653",116,3.1
CN2002900000000,20,29,"Cloud County, KS",20-Feb,"3,749","3,642",107,2.9
CN2003100000000,20,31,"Coffey County, KS",20-Feb,"4,182","3,991",191,4.6
CN2003300000000,20,33,"Comanche County, KS",20-Feb,839,816,23,2.7
CN2003500000000,20,35,"Cowley County, KS",20-Feb,"16,329","15,752",577,3.5
CN2003700000000,20,37,"Crawford County, KS",20-Feb,"18,625","17,875",750,4
CN2003900000000,20,39,"Decatur County, KS",20-Feb,"1,178","1,141",37,3.1
CN2004100000000,20,41,"Dickinson County, KS",20-Feb,"8,764","8,409",355,4.1
CN2004300000000,20,43,"Doniphan County, KS",20-Feb,"4,129","3,970",159,3.9
CN2004500000000,20,45,"Douglas County, KS",20-Feb,"67,075","65,076","1,999",3
CN2004700000000,20,47,"Edwards County, KS",20-Feb,"1,382","1,352",30,2.2
CN2004900000000,20,49,"Elk County, KS",20-Feb,"1,149","1,113",36,3.1
CN2005100000000,20,51,"Ellis County, KS",20-Feb,"17,044","16,682",362,2.1
CN2005300000000,20,53,"Ellsworth County, KS",20-Feb,"2,690","2,621",69,2.6
CN2005500000000,20,55,"Finney County, KS",20-Feb,"20,876","20,441",435,2.1
CN2005700000000,20,57,"Ford County, KS",20-Feb,"16,968","16,556",412,2.4
CN2005900000000,20,59,"Franklin County, KS",20-Feb,"14,299","13,784",515,3.6
CN2006100000000,20,61,"Geary County, KS",20-Feb,"11,403","10,888",515,4.5
CN2006300000000,20,63,"Gove County, KS",20-Feb,"1,474","1,447",27,1.8
CN2006500000000,20,65,"Graham County, KS",20-Feb,"1,085","1,056",29,2.7
